WKT,name,description
"POINT (-118.8528852 45.6905822)",KPDT,Pendleton
"POINT (-124.1067618 47.1168731)",KLGX,Langley Hill
"POINT (-117.6268211 47.6803698)",KOTX,Spokane
"POINT (-122.4957954 48.194564)",KATX,Seattle-Tacoma
Note: Gray radome
"POINT (-124.2921759 40.4986125)",KBHX,Eureka
"POINT (-121.6316377 39.4956628)",KBBX,Beale AFB
"POINT (-121.6778748 38.5011524)",KDAX,Sacramento
"POINT (-121.8984745 37.1551598)",KMUX,San Francisco
"POINT (-119.6321673 36.314212)",KHNX,San Joaquin Valley
"POINT (-120.3979187 34.8383073)",KVBX,Vandenberg AFB
"POINT (-117.5609402 35.0978003)",KEYX,Edwards AFB
"POINT (-119.1795932 34.4116292)",KVTX,Los Angeles
"POINT (-117.6359733 33.8176498)",KSOX,Santa Ana Mountains
"POINT (-117.0418376 32.9189869)",KNKX,San Diego
Note: Tan radome
"POINT (-90.4073383 30.5193147)",KHDC,Hammond
Note: Radar moved from Slidell; came online in March 2024
